date,title,citations,year,venue
2026-04-04,AutoML: A survey of the state-of-the-art,2630,2021,
2026-04-04,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,146,2022,
2026-04-04,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-04,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,124,2025,
2026-04-04,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-04,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-04,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-04,EAGAN: Efficient two-stage evolutionary architecture search for GANs,38,2022,
2026-04-04,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,30,2026,
2026-04-04,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-04,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-04,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-04,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-04,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-04,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-04,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-04,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-04,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-04,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-04,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-04,LLM Agent Memory: A Survey from a Unified Representation–Management Perspective,0,2026,
2026-04-04,Automated Machine Learning and Its Applications,0,2023,
2026-04-05,AutoML: A survey of the state-of-the-art,2633,2021,
2026-04-05,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,146,2022,
2026-04-05,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-05,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,124,2025,
2026-04-05,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-05,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-05,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-05,EAGAN: Efficient two-stage evolutionary architecture search for GANs,38,2022,
2026-04-05,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,30,2026,
2026-04-05,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-05,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-05,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-05,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-05,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-05,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-05,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-05,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-05,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-05,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-05,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-05,LLM Agent Memory: A Survey from a Unified Representation–Management Perspective,0,2026,
2026-04-05,Automated Machine Learning and Its Applications,0,2023,
2026-04-06,AutoML: A survey of the state-of-the-art,2634,2021,
2026-04-06,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,146,2022,
2026-04-06,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-06,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,124,2025,
2026-04-06,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-06,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-06,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
